"Country or Area","Year","Comm. Code","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"India","2022","290376","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; bromochlorodifluoromethane (Halon-1211), bromotrifluoromethane (Halon-1301), and dibromotetrafluoroethanes (Halon-2402)","Export","3677601.286","284912","Weight in kilograms","284912"
"India","2022","290377","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; n.e.c. in headings 290371 to 290376, perhalogenated only with fluorine and chlorine","Import","5603172.113","544632.339","Weight in kilograms","544632.339"
"India","2022","290377","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; n.e.c. in headings 290371 to 290376, perhalogenated only with fluorine and chlorine","Export","3063415.405","209201","Weight in kilograms","209201"
"India","2022","290378","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; perhalogenated derivatives, other than those only with fluorine and chlorine, n.e.c. in item no. 2903.71 to 2903.76","Import","316573.059","80327.307","Weight in kilograms","80327.307"
"India","2022","290378","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; perhalogenated derivatives, other than those only with fluorine and chlorine, n.e.c. in item no. 2903.71 to 2903.76","Export","487429.369","28500","Weight in kilograms","28500"
"India","2022","290379","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; n.e.c. in item no. 2903.7","Export","32412190.698","4115350","Weight in kilograms","4115350"
"India","2022","290379","Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; n.e.c. in item no. 2903.7","Import","11829607.265","1906239.029","Weight in kilograms","1906239.029"
"India","2022","290381","Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons; 1,2,3,4,5,6-Hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN)","Import","17529.399","118.904","Weight in kilograms","118.904"
"India","2022","290381","Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons; 1,2,3,4,5,6-Hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN)","Export","50482.148","1155","Weight in kilograms","1155"
"India","2022","290389","Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons; n.e.c. in item no. 2903.8","Export","6969716.228","1055703.101","Weight in kilograms","1055703.101"
"India","2022","290389","Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons; n.e.c. in item no. 2903.8","Import","6188959.372","1982331.227","Weight in kilograms","1982331.227"
"India","2022","290391","Halogenated derivatives of aromatic hydrocarbons; chlorobenzene, o-dichlorobenzene, and p-dichlorobenzene","Export","69435834.3","","No Quantity",""
"India","2022","290391","Halogenated derivatives of aromatic hydrocarbons; chlorobenzene, o-dichlorobenzene, and p-dichlorobenzene","Import","5460251.831","4347821.848","Weight in kilograms","4347821.848"
"India","2022","290392","Halogenated derivatives of aromatic hydrocarbons; hexachlorobenzene (ISO) and DDT (ISO) (clofenotane (INN), and 1,1,1-trichloro-2,2-bis(p-chlorophenyl)ethane)","Import","601967.658","150756.159","Weight in kilograms","150756.159"
"India","2022","290392","Halogenated derivatives of aromatic hydrocarbons; hexachlorobenzene (ISO) and DDT (ISO) (clofenotane (INN), and 1,1,1-trichloro-2,2-bis(p-chlorophenyl)ethane)","Export","6615151.37","730967.798","Weight in kilograms","730967.798"
"India","2022","290394","Halogenated derivatives of aromatic hydrocarbons; hexabromobiphenyls","Export","12094.107","","No Quantity",""
"India","2022","290394","Halogenated derivatives of aromatic hydrocarbons; hexabromobiphenyls","Import","2085.642","","No Quantity",""
"India","2022","290399","Halogenated derivatives of aromatic hydrocarbons; n.e.c. in item no. 2903.91, 2903.92, 2903.93 and 2903.94","Export","101061387.42","20267594.089","Weight in kilograms","20267594.089"
"India","2022","290399","Halogenated derivatives of aromatic hydrocarbons; n.e.c. in item no. 2903.91, 2903.92, 2903.93 and 2903.94","Import","203960963.683","37075267.402","Weight in kilograms","37075267.402"
"India","2022","290410","Derivatives of hydrocarbons; containing only sulpho groups, their salts and ethyl esters, whether or not halogenated","Export","40646504.15","","No Quantity",""
"India","2022","290410","Derivatives of hydrocarbons; containing only sulpho groups, their salts and ethyl esters, whether or not halogenated","Import","27912327.675","8193281.061","Weight in kilograms","8193281.061"
"India","2022","290420","Derivatives of hydrocarbons; containing only nitro or only nitroso groups, whether or not halogenated","Import","38722498.709","17321574.982","Weight in kilograms","17321574.982"
"India","2022","290420","Derivatives of hydrocarbons; containing only nitro or only nitroso groups, whether or not halogenated","Export","22970236.384","10344657.064","Weight in kilograms","10344657.064"
"India","2022","290431","Derivatives of hydrocarbons; perfluorooctane sulphonic acid, whether or not halogenated","Export","8490.869","2","Weight in kilograms","2"
"India","2022","290433","Derivatives of hydrocarbons; lithium perfluorooctane sulphonate, whether or not halogenated","Export","2.048","","No Quantity",""
"India","2022","290433","Derivatives of hydrocarbons; lithium perfluorooctane sulphonate, whether or not halogenated","Import","3163.521","","No Quantity",""
"India","2022","290436","Derivatives of hydrocarbons; perfluorooctane sulphonyl fluoride, whether or not halogenated","Import","954.286","1","Weight in kilograms","1"
"India","2022","290491","Derivatives of hydrocarbons; trichloronitromethane (chloropicrin), whether or not halogenated","Export","11.502","1","Weight in kilograms","1"
"India","2022","290491","Derivatives of hydrocarbons; trichloronitromethane (chloropicrin), whether or not halogenated","Import","222649.06","35010","Weight in kilograms","35010"
"India","2022","290499","Derivatives of hydrocarbons n.e.c. in heading no. 2904, whether or not halogenated","Export","56843430.096","19558998.049","Weight in kilograms","19558998.049"
"India","2022","290499","Derivatives of hydrocarbons n.e.c. in heading no. 2904, whether or not halogenated","Import","110615581.813","34923773.945","Weight in kilograms","34923773.945"
"India","2022","290511","Alcohols; saturated monohydric, methanol (methyl alcohol)","Export","14848866.941","35304456.325","Weight in kilograms","35304456.325"
"India","2022","290511","Alcohols; saturated monohydric, methanol (methyl alcohol)","Import","985805124.401","2843317861.656","Weight in kilograms","2843317861.656"
"India","2022","290512","Alcohols; saturated monohydric, propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol)","Export","14884596.729","11207729.841","Weight in kilograms","11207729.841"
"India","2022","290512","Alcohols; saturated monohydric, propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol)","Import","147900248.902","137243961.49","Weight in kilograms","137243961.49"
"India","2022","290513","Alcohols; saturated monohydric, butan-1-ol (n-butyl alcohol)","Import","44254871.574","","No Quantity",""
"India","2022","290513","Alcohols; saturated monohydric, butan-1-ol (n-butyl alcohol)","Export","944777.09","","No Quantity",""
"India","2022","290514","Alcohols; saturated monohydric, butanols excluding item no. 2905.13","Export","23200612.012","","No Quantity",""
"India","2022","290514","Alcohols; saturated monohydric, butanols excluding item no. 2905.13","Import","91425380.668","60810187.578","Weight in kilograms","60810187.578"
"India","2022","290516","Alcohols; saturated monohydric, octanol (octyl alcohol) and isomers thereof","Export","10300055.665","","No Quantity",""
"India","2022","290516","Alcohols; saturated monohydric, octanol (octyl alcohol) and isomers thereof","Import","70943254.572","42114943.09","Weight in kilograms","42114943.09"
"India","2022","290517","Alcohols; saturated monohydric, dodecan-1-ol (lauryl alcohol), hexadecan-1-ol (cetyl alcohol) and octadecan-1-ol (stearyl alcohol)","Export","60531839.355","16409575.623","Weight in kilograms","16409575.623"
"India","2022","290517","Alcohols; saturated monohydric, dodecan-1-ol (lauryl alcohol), hexadecan-1-ol (cetyl alcohol) and octadecan-1-ol (stearyl alcohol)","Import","17026953.591","5390247.605","Weight in kilograms","5390247.605"
"India","2022","290519","Alcohols; saturated monohydric, n.e.c. in item no. 2905.1","Export","48855402.237","9021116.414","Weight in kilograms","9021116.414"
"India","2022","290519","Alcohols; saturated monohydric, n.e.c. in item no. 2905.1","Import","214469026.601","102130254.52","Weight in kilograms","102130254.52"
"India","2022","290522","Alcohols; unsaturated monohydric, acyclic terpene alcohols","Export","104744005.287","","No Quantity",""
"India","2022","290522","Alcohols; unsaturated monohydric, acyclic terpene alcohols","Import","57607698.536","7179422.778","Weight in kilograms","7179422.778"
"India","2022","290529","Alcohols; acyclic, unsaturated monohydric, (other than acyclic terpene alcohols)","Export","36059510.48","1063672.536","Weight in kilograms","1063672.536"
"India","2022","290529","Alcohols; acyclic, unsaturated monohydric, (other than acyclic terpene alcohols)","Import","14416349.44","1401507.854","Weight in kilograms","1401507.854"
"India","2022","290531","Alcohols; acyclic, diols; ethylene glycol (ethanediol)","Import","812464135.049","1407200239.19","Weight in kilograms","1407200239.19"
"India","2022","290531","Alcohols; acyclic, diols; ethylene glycol (ethanediol)","Export","49935560.303","45019938.907","Weight in kilograms","45019938.907"
"India","2022","290532","Alcohols; acyclic, diols; propylene glycol (propane-1, 2-diol)","Export","8296705.97","2230889.538","Weight in kilograms","2230889.538"
"India","2022","290532","Alcohols; acyclic, diols; propylene glycol (propane-1, 2-diol)","Import","136993690.092","62323866.589","Weight in kilograms","62323866.589"
"India","2022","290539","Alcohols; acyclic, diols, other than ethylene glycol (ethandiol) or propylene glycol (propane-1,2-diol)","Export","41878941.159","15685037.277","Weight in kilograms","15685037.277"
"India","2022","290539","Alcohols; acyclic, diols, other than ethylene glycol (ethandiol) or propylene glycol (propane-1,2-diol)","Import","144615241.705","80074862.836","Weight in kilograms","80074862.836"
"India","2022","290541","Alcohols; polyhydric, 2-ethyl-2- (hydroxymethyl) propane-1,3-diol (trimethylolpropane)","Import","13376966.281","4303241.877","Weight in kilograms","4303241.877"
"India","2022","290541","Alcohols; polyhydric, 2-ethyl-2- (hydroxymethyl) propane-1,3-diol (trimethylolpropane)","Export","35438.996","7042","Weight in kilograms","7042"
"India","2022","290542","Alcohols; polyhydric, pentaerythritol","Export","9490182.135","2557081.642","Weight in kilograms","2557081.642"
