"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"China","2022","Halogenated derivatives of aromatic hydrocarbons; n.e.c. in item no. 2903.91, 2903.92, 2903.93 and 2903.94","Export","684871342","83254438.76","Weight in kilograms","83254438.76"
"China","2022","Halogenated derivatives of aromatic hydrocarbons; n.e.c. in item no. 2903.91, 2903.92, 2903.93 and 2903.94","Import","108925338","17856598.648","Weight in kilograms","17856598.648"
"China","2022","Derivatives of hydrocarbons; containing only sulpho groups, their salts and ethyl esters, whether or not halogenated","Export","80345934","19627019.667","Weight in kilograms","19627019.667"
"China","2022","Derivatives of hydrocarbons; containing only sulpho groups, their salts and ethyl esters, whether or not halogenated","Import","39419936","14511806.488","Weight in kilograms","14511806.488"
"China","2022","Derivatives of hydrocarbons; containing only nitro or only nitroso groups, whether or not halogenated","Export","51845681","14726523.433","Weight in kilograms","14726523.433"
"China","2022","Derivatives of hydrocarbons; containing only nitro or only nitroso groups, whether or not halogenated","Import","12311468","8668887.255","Weight in kilograms","8668887.255"
"China","2022","Derivatives of hydrocarbons; trichloronitromethane (chloropicrin), whether or not halogenated","Export","2895562","793000","Weight in kilograms","793000"
"China","2022","Derivatives of hydrocarbons n.e.c. in heading no. 2904, whether or not halogenated","Export","236780759","69582059.666","Weight in kilograms","69582059.666"
"China","2022","Derivatives of hydrocarbons n.e.c. in heading no. 2904, whether or not halogenated","Import","18874668","6907659.25","Weight in kilograms","6907659.25"
"China","2022","Alcohols; saturated monohydric, methanol (methyl alcohol)","Export","65187921","172942162","Weight in kilograms","172942162"
"China","2022","Alcohols; saturated monohydric, methanol (methyl alcohol)","Import","4165362966","12193027458.27","Weight in kilograms","12193027458.27"
"China","2022","Alcohols; saturated monohydric, propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol)","Export","175621082","173598297","Weight in kilograms","173598297"
"China","2022","Alcohols; saturated monohydric, propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol)","Import","116412683","90767825.532","Weight in kilograms","90767825.532"
"China","2022","Alcohols; saturated monohydric, butan-1-ol (n-butyl alcohol)","Export","28437300","22237528","Weight in kilograms","22237528"
"China","2022","Alcohols; saturated monohydric, butan-1-ol (n-butyl alcohol)","Import","188083349","159213050.651","Weight in kilograms","159213050.651"
"China","2022","Alcohols; saturated monohydric, butanols excluding item no. 2905.13","Import","81732481","90445129.189","Weight in kilograms","90445129.189"
"China","2022","Alcohols; saturated monohydric, butanols excluding item no. 2905.13","Export","18010983","13423234.892","Weight in kilograms","13423234.892"
"China","2022","Alcohols; saturated monohydric, octanol (octyl alcohol) and isomers thereof","Export","106885663","72615030.152","Weight in kilograms","72615030.152"
"China","2022","Alcohols; saturated monohydric, octanol (octyl alcohol) and isomers thereof","Import","252441197","161409249.388","Weight in kilograms","161409249.388"
"China","2022","Alcohols; saturated monohydric, dodecan-1-ol (lauryl alcohol), hexadecan-1-ol (cetyl alcohol) and octadecan-1-ol (stearyl alcohol)","Export","12625085","3867521.635","Weight in kilograms","3867521.635"
"China","2022","Alcohols; saturated monohydric, dodecan-1-ol (lauryl alcohol), hexadecan-1-ol (cetyl alcohol) and octadecan-1-ol (stearyl alcohol)","Import","135898620","51556403.072","Weight in kilograms","51556403.072"
"China","2022","Alcohols; saturated monohydric, n.e.c. in item no. 2905.1","Export","216607430","149981050.669","Weight in kilograms","149981050.669"
"China","2022","Alcohols; saturated monohydric, n.e.c. in item no. 2905.1","Import","337853940","201004472.219","Weight in kilograms","201004472.219"
